-1.00;68.83
-0.98;68.40
-0.97;68.24
-0.96;69.10
-0.95;69.67
-0.94;69.32
-0.93;69.42
-0.91;69.32
-0.90;69.20
-0.89;69.03
-0.88;68.81
-0.87;68.79
-0.86;68.81
-0.84;68.50
-0.83;68.36
-0.82;68.28
-0.81;68.07
-0.80;67.95
-0.79;67.89
-0.77;67.79
-0.76;67.66
-0.75;67.62
-0.74;67.50
-0.73;67.46
-0.72;67.23
-0.70;67.25
-0.69;67.23
-0.68;67.13
-0.67;67.01
-0.66;66.89
-0.65;66.78
-0.63;66.58
-0.62;66.56
-0.61;66.25
-0.60;66.35
-0.59;66.17
-0.58;66.35
-0.56;66.25
-0.55;66.23
-0.54;66.11
-0.53;66.15
-0.52;66.11
-0.51;66.13
-0.49;66.07
-0.48;65.82
-0.47;65.84
-0.46;65.76
-0.45;65.82
-0.44;65.82
-0.42;65.78
-0.41;65.72
-0.40;65.68
-0.39;65.62
-0.38;65.60
-0.37;65.51
-0.36;65.47
-0.34;65.49
-0.33;65.45
-0.32;65.37
-0.31;65.49
-0.30;65.41
-0.29;65.31
-0.27;65.31
-0.26;65.39
-0.25;65.35
-0.24;65.21
-0.23;65.35
-0.22;65.31
-0.20;65.19
-0.19;65.19
-0.18;65.25
-0.17;65.21
-0.16;65.27
-0.15;65.21
-0.13;65.17
-0.12;65.17
-0.11;65.10
-0.10;65.13
-0.09;65.13
-0.08;65.00
-0.06;65.08
-0.05;65.21
-0.04;65.10
-0.03;65.00
-0.02;65.15
-0.01;65.02
0.01;65.19
0.02;65.19
0.03;65.23
0.04;65.29
0.05;65.25
0.06;65.23
0.08;65.35
0.09;65.23
0.10;65.27
0.11;65.35
0.12;65.29
0.13;65.31
0.15;65.41
0.16;65.45
0.17;65.41
0.18;65.43
0.19;65.39
0.20;65.43
0.22;65.62
0.23;65.43
0.24;65.53
0.25;65.49
0.26;65.53
0.27;65.51
0.29;65.51
0.30;65.51
0.31;65.55
0.32;65.53
0.33;65.55
0.34;65.64
0.36;65.62
0.37;65.62
0.38;65.51
0.39;65.64
0.40;65.55
0.41;65.55
0.43;65.68
0.44;65.74
0.45;65.82
0.46;65.88
0.47;65.78
0.48;65.98
0.50;65.94
0.51;66.01
0.52;66.07
0.53;66.09
0.54;66.07
0.55;66.05
0.57;66.03
0.58;66.23
0.59;66.15
0.60;66.25
0.61;66.25
0.62;66.25
0.64;66.17
0.65;66.33
0.66;66.27
0.67;66.37
0.68;66.31
0.69;66.33
0.71;66.46
0.72;66.54
0.73;66.54
0.74;66.54
0.75;66.54
0.76;66.58
0.78;66.66
0.79;66.72
0.80;66.72
0.81;66.76
0.82;66.70
0.83;66.82
0.85;66.82
0.86;66.86
0.87;66.91
0.88;66.93
0.89;66.97
0.90;67.17
0.92;67.09
0.93;67.07
0.94;67.13
0.95;67.15
0.96;67.19
0.97;67.32
0.99;67.27
1.00;67.34
1.01;67.29
1.01;67.40
1.00;67.54
0.99;67.48
0.97;67.46
0.96;67.40
0.95;67.46
0.94;67.52
0.93;67.52
0.92;67.54
0.90;67.52
0.89;67.60
0.88;67.62
0.87;67.68
0.86;67.68
0.85;67.62
0.83;67.58
0.82;67.66
0.81;67.66
0.80;67.66
0.79;67.68
0.78;67.62
0.76;67.64
0.75;67.23
0.74;67.23
0.73;67.17
0.72;67.32
0.71;67.11
0.69;67.11
0.68;67.13
0.67;67.17
0.66;67.15
0.65;67.79
0.64;67.77
0.62;67.79
0.61;67.66
0.60;67.70
0.59;67.77
0.58;67.81
0.57;67.68
0.55;67.72
0.54;67.66
0.53;67.68
0.52;67.74
0.51;67.72
0.50;67.72
0.48;67.74
0.47;67.68
0.46;67.70
0.45;67.64
0.44;67.74
0.43;67.83
0.41;67.66
0.40;67.70
0.39;67.62
0.38;67.62
0.37;67.58
0.36;67.52
0.34;67.56
0.33;67.50
0.32;67.50
0.31;67.50
0.30;67.54
0.29;67.34
0.27;67.40
0.26;67.36
0.25;67.40
0.24;67.40
0.23;67.36
0.22;67.34
0.20;67.34
0.19;67.21
0.18;67.38
0.17;67.23
0.16;67.15
0.15;67.11
0.13;67.13
0.12;67.07
0.11;67.13
0.10;67.01
0.09;66.91
0.08;66.91
0.06;66.91
0.05;66.78
0.04;66.86
0.03;66.76
0.02;66.80
0.01;66.66
-0.01;66.70
-0.02;66.68
-0.03;66.62
-0.04;66.56
-0.05;66.52
-0.06;66.50
-0.08;66.48
-0.09;66.46
-0.10;66.39
-0.11;66.33
-0.12;66.35
-0.13;66.25
-0.15;66.23
-0.16;66.29
-0.17;66.17
-0.18;66.07
-0.19;66.15
-0.20;66.03
-0.22;65.98
-0.23;66.03
-0.24;66.03
-0.25;65.98
-0.26;65.94
-0.27;65.90
-0.29;65.92
-0.30;65.88
-0.31;65.78
-0.32;65.80
-0.33;65.80
-0.34;65.60
-0.36;65.55
-0.37;65.49
-0.38;65.49
-0.39;65.35
-0.40;65.41
-0.41;65.35
-0.42;65.29
-0.44;65.10
-0.45;65.10
-0.46;65.06
-0.47;65.00
-0.48;64.94
-0.49;64.86
-0.51;64.86
-0.52;64.82
-0.53;64.63
-0.54;64.70
-0.55;64.61
-0.56;64.59
-0.58;64.59
-0.59;64.55
-0.60;64.47
-0.61;64.47
-0.62;64.39
-0.63;64.39
-0.65;64.39
-0.66;64.24
-0.67;64.18
-0.68;64.06
-0.69;64.16
-0.70;64.08
-0.72;64.10
-0.73;64.04
-0.74;64.02
-0.75;63.92
-0.76;63.96
-0.77;63.90
-0.79;63.84
-0.80;63.75
-0.81;63.79
-0.82;63.94
-0.83;63.61
-0.84;63.69
-0.86;63.55
-0.87;63.63
-0.88;63.59
-0.89;63.51
-0.90;63.55
-0.91;63.41
-0.93;63.39
-0.94;63.49
-0.95;63.53
-0.96;63.55
-0.97;63.49
-0.98;63.51
-1.00;63.61
