-1.36;641.21
-1.35;-689.67
-1.33;-684.43
-1.32;-679.19
-1.31;-673.95
-1.30;-668.71
-1.29;-663.48
-1.28;-658.24
-1.26;-653.00
-1.25;-647.76
-1.24;-642.52
-1.23;-637.28
-1.22;-632.04
-1.21;-626.80
-1.19;-621.56
-1.18;-616.32
-1.17;-611.08
-1.16;-605.84
-1.15;-600.64
-1.14;-595.36
-1.12;-590.12
-1.11;-584.88
-1.10;-579.64
-1.09;-574.40
-1.08;-569.16
-1.07;-563.92
-1.05;-558.68
-1.04;-553.44
-1.03;-548.20
-1.02;-543.04
-1.01;-537.70
-1.00;-532.48
-0.98;-527.24
-0.97;-522.00
-0.96;-516.76
-0.95;-511.52
-0.94;-506.28
-0.93;-501.04
-0.91;-495.80
-0.90;-490.54
-0.89;-485.30
-0.88;-480.00
-0.87;-474.74
-0.86;-469.50
-0.84;-464.22
-0.83;-459.00
-0.82;-453.54
-0.81;-448.46
-0.80;-443.18
-0.79;-438.02
-0.77;-432.70
-0.76;-427.48
-0.75;-422.18
-0.74;-416.90
-0.73;-411.62
-0.72;-406.44
-0.70;-401.16
-0.69;-395.88
-0.68;-390.66
-0.67;-385.42
-0.66;-380.22
-0.65;-374.96
-0.63;-369.60
-0.62;-364.46
-0.61;-359.18
-0.60;-353.98
-0.59;-348.70
-0.58;-343.42
-0.56;-338.20
-0.55;-332.96
-0.54;-327.70
-0.53;-322.51
-0.52;-317.18
-0.51;-311.94
-0.49;-306.70
-0.48;-301.42
-0.47;-296.20
-0.46;-290.94
-0.45;-285.75
-0.44;-280.46
-0.42;-275.18
-0.41;-269.92
-0.40;-264.68
-0.39;-259.53
-0.38;-254.18
-0.37;-249.01
-0.36;-243.73
-0.34;-238.49
-0.33;-233.23
-0.32;-228.01
-0.31;-222.77
-0.30;-217.55
-0.29;-212.31
-0.27;-206.97
-0.26;-201.77
-0.25;-196.53
-0.24;-191.33
-0.23;-186.09
-0.22;-180.77
-0.20;-175.53
-0.19;-170.35
-0.18;-165.09
-0.17;-159.79
-0.16;-154.67
-0.15;-149.29
-0.13;-143.72
-0.12;-138.79
-0.11;-133.24
-0.10;-128.29
-0.09;-123.09
-0.08;-117.87
-0.06;-112.63
-0.05;-107.35
-0.04;-102.15
-0.03;-96.89
-0.02;-91.59
-0.01;-86.51
0.01;-81.17
0.02;-75.89
0.03;-70.67
0.04;-65.37
0.05;-60.07
0.06;-54.93
0.08;-49.67
0.09;-44.41
0.10;-39.11
0.11;-33.91
0.12;-28.73
0.13;-23.47
0.15;-18.19
0.16;-12.91
0.17;-7.75
0.18;-2.43
0.19;2.79
0.20;8.01
0.22;13.31
0.23;18.40
0.24;23.77
0.25;29.05
0.26;34.31
0.27;39.32
0.29;44.77
0.30;49.98
0.31;55.27
0.32;60.55
0.33;65.79
0.34;71.05
0.36;76.22
0.37;81.46
0.38;86.44
0.39;91.98
0.40;97.22
0.41;102.50
0.43;107.79
0.44;113.00
0.45;118.18
0.46;123.55
0.47;128.76
0.48;134.00
0.50;139.12
0.51;144.46
0.52;149.76
0.53;154.96
0.54;160.22
0.55;165.44
0.57;170.68
0.58;175.96
0.59;181.18
0.60;186.46
0.61;191.72
0.62;197.02
0.64;202.14
0.65;207.48
0.66;212.66
0.67;217.92
0.68;223.22
0.69;228.44
0.71;233.64
0.72;238.88
0.73;244.14
0.74;249.48
0.75;254.64
0.76;259.86
0.78;265.47
0.79;270.36
0.80;275.64
0.81;280.86
0.82;286.18
0.83;291.40
0.85;296.66
0.86;301.88
0.87;307.16
0.88;312.38
0.89;317.64
0.90;322.90
0.92;328.12
0.93;333.44
0.94;338.56
0.95;343.88
0.96;349.12
0.97;354.46
0.99;359.74
1.00;364.88
1.01;370.16
1.02;375.42
1.03;380.68
1.04;385.92
1.06;391.10
1.07;396.40
1.08;401.45
1.09;406.88
1.10;412.08
1.11;417.24
1.13;422.56
1.14;427.80
1.15;433.04
1.16;438.30
1.17;443.50
1.18;448.80
1.20;454.02
1.21;459.56
1.22;464.49
1.23;469.98
1.24;474.93
1.25;480.15
1.27;485.41
1.28;490.63
1.29;496.18
1.30;501.09
1.31;506.39
1.32;511.57
1.34;516.81
1.35;522.01
1.36;527.25
1.37;532.49
1.38;537.73
1.39;542.97
1.41;548.21
1.42;553.45
1.42;558.69
1.41;558.69
1.39;553.45
1.38;548.21
1.37;542.97
1.36;537.73
1.35;532.49
1.34;527.25
1.32;522.01
1.31;516.81
1.30;511.55
1.29;506.33
1.28;501.11
1.27;495.87
1.25;490.69
1.24;485.37
1.23;480.19
1.22;475.08
1.21;469.92
1.20;464.45
1.18;459.26
1.17;453.97
1.16;448.76
1.15;443.54
1.14;438.26
1.13;433.06
1.11;427.82
1.10;422.58
1.09;417.13
1.08;412.10
1.07;406.76
1.06;401.66
1.04;396.38
1.03;391.32
1.02;385.90
1.01;380.68
1.00;375.40
0.99;370.16
0.97;364.94
0.96;359.52
0.95;354.38
0.94;349.14
0.93;343.88
0.92;338.62
0.90;333.40
0.89;328.16
0.88;322.88
0.87;317.62
0.86;312.38
0.85;307.04
0.83;301.86
0.82;296.66
0.81;291.73
0.80;286.10
0.79;280.92
0.78;275.66
0.76;270.42
0.75;265.16
0.74;259.92
0.73;254.64
0.72;249.38
0.71;244.16
0.69;238.92
0.68;233.66
0.67;228.40
0.66;223.18
0.65;217.94
0.64;212.66
0.62;207.48
0.61;202.16
0.60;196.98
0.59;191.50
0.58;186.40
0.57;181.18
0.55;176.50
0.54;170.72
0.53;165.44
0.52;160.22
0.51;154.94
0.50;149.74
0.48;144.48
0.47;139.20
0.46;133.94
0.45;128.76
0.44;123.36
0.43;118.26
0.41;112.94
0.40;107.74
0.39;102.46
0.38;97.24
0.37;92.03
0.36;86.89
0.34;81.48
0.33;76.29
0.32;71.03
0.31;65.79
0.30;60.57
0.29;55.37
0.27;50.03
0.26;44.75
0.25;39.53
0.24;34.29
0.23;29.05
0.22;23.70
0.20;18.30
0.19;13.33
0.18;8.03
0.17;2.77
0.16;-2.45
0.15;-7.69
0.13;-12.97
0.12;-18.23
0.11;-23.43
0.10;-28.61
